units,epochs,batch_size,layers,direction,root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj
25,25,25,3,0.4794215795328142,0.02154744096480393,0.015600997282822052,0.0004642922121317104,-0.06935169924968254
25,50,25,3,0.4794215795328142,0.021320290012398418,0.01547012017470738,0.00045455476621277576,-0.04692454224018516
25,75,25,3,0.4961067853170189,0.020731151125073347,0.015093147516933062,0.00042978062697063,0.010134928506486562
25,100,25,3,0.4827586206896552,0.02110763171315378,0.01516021869660594,0.00044553211653813526,-0.026143694512818394
25,25,32,3,0.4860956618464961,0.023264346457873713,0.01717857151815232,0.0005412298161119811,-0.24655337397680954
25,50,32,3,0.47052280311457173,0.02200632795935273,0.01604230586968945,0.00048427847025458965,-0.11538378535170124
25,75,32,3,0.5061179087875417,0.021201839166106164,0.015375990222017218,0.0004495179840254333,-0.0353238919383938
25,100,32,3,0.4760845383759733,0.02113266479789199,0.015212518187005572,0.0004465895214600633,-0.028579095582474734
25,25,48,3,0.4827586206896552,0.02146876789426355,0.015445212363646864,0.00046090799489776127,-0.0615572147522192
25,50,48,3,0.4949944382647386,0.021488821944911654,0.015689876963167333,0.00046176946858011666,-0.06354134957510582
25,75,48,3,0.48053392658509453,0.021321908056283184,0.01544918342726646,0.00045462376316059367,-0.047083455100371596
25,100,48,3,0.48053392658509453,0.02161302788410266,0.01582126157222756,0.00046712297431899906,-0.07587147338341294
25,25,64,3,0.48053392658509453,0.021677205826122266,0.015515350554918744,0.00046990125242806917,-0.08227036688042366
25,50,64,3,0.4771968854282536,0.02131436181953735,0.015400368498735885,0.00045430201977415157,-0.04634241997631805
25,75,64,3,0.48053392658509453,0.021400858843986972,0.015580141150669052,0.0004579967592602555,-0.05485209522934431
25,100,64,3,0.5072302558398221,0.020947993100817373,0.01521865462226093,0.00043881841495189224,-0.010680785569026519
75,25,25,3,0.4682981090100111,0.02152544356392555,0.015511421775543299,0.00046334472062374386,-0.06716944930537094
75,50,25,3,0.47163515016685204,0.021169502745609504,0.015441721429803178,0.00044814784649636837,-0.03216820925273267
75,75,25,3,0.4849833147942158,0.020904097020136,0.01495703316446644,0.0004369812722272589,-0.006449502676447061
75,100,25,3,0.4771968854282536,0.021351879589729294,0.015192503270583654,0.00045590276201429834,-0.05002922839100665
75,25,32,3,0.4783092324805339,0.021813161375024485,0.01578184667021371,0.0004758140091728601,-0.0958885502293585
75,50,32,3,0.4727474972191324,0.02198828832413077,0.016318840832849596,0.0004834848234251055,-0.11355586844175258
75,75,32,3,0.4771968854282536,0.020959248925886756,0.015182382119300245,0.0004392901155372852,-0.011767200135859746
75,100,32,3,0.4961067853170189,0.020981369766056582,0.014871546221324708,0.0004402178772599932,-0.013904008698987447
75,25,48,3,0.4783092324805339,0.02120616865231258,0.015200105288371898,0.0004497015889103247,-0.035746768287638675
75,50,48,3,0.4872080088987764,0.021473680576662626,0.015525219997097271,0.00046111895750853773,-0.06204310105489097
75,75,48,3,0.474972191323693,0.021164323739679525,0.015393050331752322,0.00044792859935796235,-0.03166324213529226
75,100,48,3,0.489432703003337,0.020696582874304165,0.014962599908825747,0.00042834854267294044,0.013433286172603642
75,25,64,3,0.489432703003337,0.021331503060515452,0.015351489394516853,0.0004550330228207801,-0.04802605655182668
75,50,64,3,0.4983314794215795,0.02125483639994046,0.015284314515330851,0.0004517680703882339,-0.04050626117192446
75,75,64,3,0.4794215795328142,0.021578429292580498,0.015721241319608933,0.0004656286107348961,-0.07242967488625429
75,100,64,3,0.5094549499443827,0.021165887125285356,0.015374772090652645,0.00044799477780032047,-0.03181566345087816
