units,epochs,batch_size,layers,direction,root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj
25,25,25,3,0.48106904231625836,0.2931173262146466,0.028221309452230482,0.08591776692722355,-0.003941288354916805
25,50,25,3,0.47884187082405344,0.292801766923024,0.027615098759572125,0.08573287471324488,-0.0017808396590635045
25,75,25,3,0.5066815144766147,0.2927104633599979,0.027779994349127528,0.08567941536042468,-0.0011561719859571884
25,100,25,3,0.5133630289532294,0.2926501378655882,0.02761027815472031,0.08564410319274779,-0.0007435525199253057
25,25,32,3,0.4844097995545657,0.29350707341135496,0.028167007342346333,0.0861464021424985,-0.006612870040470176
25,50,32,3,0.5011135857461024,0.2926149099401996,0.027860806571641552,0.08562348551931113,-0.0005026368819478488
25,75,32,3,0.5066815144766147,0.29269898873175004,0.02773144658771382,0.08567269800458913,-0.001077680294272465
25,100,32,3,0.49888641425389757,0.2929895048764026,0.02781991791584167,0.08584284996771953,-0.003065890500270285
25,25,48,3,0.48552338530066813,0.2926345914236144,0.028240712847787716,0.08563500409766574,-0.0006372304218746905
25,50,48,3,0.4755011135857461,0.2927594166310952,0.027998334791974014,0.0857080760261792,-0.0014910692572871476
25,75,48,3,0.5077951002227171,0.2928700808180494,0.027668477476342334,0.08577288423837079,-0.002248347319445232
25,100,48,3,0.49888641425389757,0.2928970792521692,0.027780334948081596,0.08578869903445148,-0.00243314177256182
25,25,64,3,0.48552338530066813,0.2923335701283054,0.02796733862478986,0.08545891622396085,0.001420340359040817
25,50,64,3,0.4933184855233853,0.2923608831522977,0.02755284221009491,0.08547488599759147,0.0012337350073556852
25,75,64,3,0.4910913140311804,0.2928755801033557,0.02770240809549609,0.0857761054208771,-0.0022859865439162075
25,100,64,3,0.5011135857461024,0.2926879994827034,0.027723905392424003,0.08566626504118699,-0.0010025117022935959
75,25,25,3,0.4688195991091314,0.2926106901882456,0.02798508451354144,0.08562101601244146,-0.00047378091889149765
75,50,25,3,0.4977728285077951,0.2926972054297521,0.027766423712929658,0.08567165406638651,-0.001065481971369131
75,75,25,3,0.4688195991091314,0.2926322865068746,0.02773226812502575,0.08563365510624156,-0.0006214675798361657
75,100,25,3,0.4665924276169265,0.3359608047304997,0.03305295140395223,0.11286966231516497,-0.31887173344314124
75,25,32,3,0.4732739420935412,0.29280594627196277,0.02826216524056207,0.08573532217221955,-0.0018094379944728622
75,50,32,3,0.4955456570155902,0.2929983348226833,0.028081076840194143,0.08584802420886523,-0.0031263510372214753
75,75,32,3,0.5,0.2936043039412048,0.028435094258401086,0.08620348729279935,-0.007279904827204309
75,100,32,3,0.49665924276169265,0.2944698142351711,0.028783181751847204,0.08671247149569618,-0.01322733892242911
75,25,48,3,0.4888641425389755,0.2929600994500326,0.028297585543506323,0.085825619869773,-0.002864558373638415
75,50,48,3,0.4977728285077951,0.29265800442036694,0.028113606949225975,0.08564870755131153,-0.0007973540307635307
