security id,company,threshold,accuracy,precision,recall,f1_score,parameters,confusion matrix,model
500325,RELIANCE INDUSTRIES LTD,0.04,0.9733036707452726,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[875  24]
 [  0   0]]",rnn
500325,RELIANCE INDUSTRIES LTD,0.05,0.985539488320356,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[886  13]
 [  0   0]]",rnn
500325,RELIANCE INDUSTRIES LTD,0.1,0.996662958843159,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[896   3]
 [  0   0]]",rnn
500387,SHREE CEMENT LTD,0.01,0.7292490118577075,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[369 137]
 [  0   0]]",rnn
500387,SHREE CEMENT LTD,0.02,0.8814229249011858,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[446  60]
 [  0   0]]",rnn
500387,SHREE CEMENT LTD,0.03,0.9466403162055336,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[479  27]
 [  0   0]]",rnn
500387,SHREE CEMENT LTD,0.04,0.9802371541501976,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[496  10]
 [  0   0]]",rnn
500387,SHREE CEMENT LTD,0.05,0.9980237154150198,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[505   1]
 [  0   0]]",rnn
500387,SHREE CEMENT LTD,0.1,1.0,0.0,0.0,0.0,"batch_size = 25,  epochs = 25",[[506]],rnn
500680,PFIZER LTD,0.01,0.7806818181818181,0.0,0.0,0.0,"batch_size = 32,  epochs = 100","[[687 192]
 [  1   0]]",rnn
500680,PFIZER LTD,0.02,0.9181818181818182,0.0,0.0,0.0,"batch_size = 64,  epochs = 100","[[808  72]
 [  0   0]]",rnn
500680,PFIZER LTD,0.03,0.9738636363636364,0.0,0.0,0.0,"batch_size = 32,  epochs = 100","[[857  23]
 [  0   0]]",rnn
500680,PFIZER LTD,0.04,0.9897727272727272,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[871   9]
 [  0   0]]",rnn
500680,PFIZER LTD,0.05,0.9954545454545456,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[876   4]
 [  0   0]]",rnn
500680,PFIZER LTD,0.1,1.0,0.0,0.0,0.0,"batch_size = 25,  epochs = 25",[[880]],rnn
500770,TATA CHEMICALS LTD,0.01,0.7578313253012048,0.0,0.0,0.0,"batch_size = 25,  epochs = 100","[[629 201]
 [  0   0]]",rnn
500770,TATA CHEMICALS LTD,0.02,0.8867469879518072,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[736  94]
 [  0   0]]",rnn
