security id,company,threshold,accuracy,precision,recall,f1_score,parameters,confusion matrix,model
500112,SBIN,0.05,0.02338530066815145,1.0,0.02338530066815145,0.04570184983677912,"batch_size = 25,  epochs = 25","[[  0   0]
 [877  21]]",cnn
500112,SBIN,0.1,0.0022271714922049,1.0,0.0022271714922049,0.004444444444444445,"batch_size = 25,  epochs = 25","[[  0   0]
 [896   2]]",cnn
500124,DR.REDDY'S LABORATORIES LTD,0.01,0.2290249433106576,1.0,0.2290249433106576,0.3726937269372694,"batch_size = 25,  epochs = 25","[[  0   0]
 [680 202]]",cnn
500124,DR.REDDY'S LABORATORIES LTD,0.02,0.10090702947845803,1.0,0.10090702947845803,0.18331616889804325,"batch_size = 25,  epochs = 25","[[  0   0]
 [793  89]]",cnn
500124,DR.REDDY'S LABORATORIES LTD,0.03,0.04308390022675737,1.0,0.04308390022675737,0.08260869565217392,"batch_size = 25,  epochs = 25","[[  0   0]
 [844  38]]",cnn
500124,DR.REDDY'S LABORATORIES LTD,0.04,0.02154195011337869,1.0,0.02154195011337869,0.042175360710321866,"batch_size = 25,  epochs = 25","[[  0   0]
 [863  19]]",cnn
500124,DR.REDDY'S LABORATORIES LTD,0.05,0.010204081632653059,1.0,0.010204081632653059,0.020202020202020204,"batch_size = 25,  epochs = 25","[[  0   0]
 [873   9]]",cnn
500124,DR.REDDY'S LABORATORIES LTD,0.1,0.0011337868480725626,1.0,0.0011337868480725626,0.0022650056625141564,"batch_size = 25,  epochs = 25","[[  0   0]
 [881   1]]",cnn
500180,HDFC Bank Ltd,0.01,0.1950947603121516,1.0,0.1950947603121516,0.3264925373134329,"batch_size = 25,  epochs = 25","[[  0   0]
 [722 175]]",cnn
500180,HDFC Bank Ltd,0.02,0.07469342251950947,1.0,0.07469342251950947,0.13900414937759334,"batch_size = 25,  epochs = 25","[[  0   0]
 [830  67]]",cnn
500180,HDFC Bank Ltd,0.03,0.03901895206243032,1.0,0.03901895206243032,0.07510729613733906,"batch_size = 25,  epochs = 25","[[  0   0]
 [862  35]]",cnn
500180,HDFC Bank Ltd,0.04,0.021181716833890748,1.0,0.021181716833890748,0.04148471615720524,"batch_size = 25,  epochs = 25","[[  0   0]
 [878  19]]",cnn
500180,HDFC Bank Ltd,0.05,0.012263099219620958,1.0,0.012263099219620958,0.024229074889867842,"batch_size = 25,  epochs = 25","[[  0   0]
 [886  11]]",cnn
500180,HDFC Bank Ltd,0.1,0.0033444816053511705,1.0,0.0033444816053511705,0.0066666666666666645,"batch_size = 25,  epochs = 25","[[  0   0]
 [894   3]]",cnn
500182,HERO MOTOCORP LTD,0.01,0.24555555555555555,1.0,0.24555555555555555,0.3942908117752007,"batch_size = 25,  epochs = 25","[[  0   0]
 [679 221]]",cnn
500182,HERO MOTOCORP LTD,0.02,0.10444444444444444,1.0,0.10444444444444444,0.1891348088531188,"batch_size = 25,  epochs = 25","[[  0   0]
 [806  94]]",cnn
500182,HERO MOTOCORP LTD,0.03,0.042222222222222223,1.0,0.042222222222222223,0.08102345415778253,"batch_size = 25,  epochs = 25","[[  0   0]
 [862  38]]",cnn
500182,HERO MOTOCORP LTD,0.04,0.022222222222222227,1.0,0.022222222222222227,0.043478260869565216,"batch_size = 25,  epochs = 25","[[  0   0]
 [880  20]]",cnn
500182,HERO MOTOCORP LTD,0.05,0.013333333333333334,1.0,0.013333333333333334,0.02631578947368421,"batch_size = 25,  epochs = 25","[[  0   0]
 [888  12]]",cnn
