root_mean_squared_error,mean_absolute_error,mean_squared_error,confidence,accuracy,precision,recall,f1_score,confusion matrix,penalty,C,p_f_value,rate_of_growth,features
0.543624094894184,0.2955271565495208,0.2955271565495208,0.7044728434504792,0.7044728434504792,0.0,0.0,0.0,"[[441   1]
 [184   0]]",none,0.001,p_0.05,0.01,"['Open Price GR', 'Beta GR']"
0.543624094894184,0.2955271565495208,0.2955271565495208,0.7044728434504792,0.7044728434504792,0.0,0.0,0.0,"[[441   1]
 [184   0]]",none,0.001,p_0.1,0.01,"['Open Price GR', 'Alpha GR', 'Beta GR']"
0.543624094894184,0.2955271565495208,0.2955271565495208,0.7044728434504792,0.7044728434504792,0.0,0.0,0.0,"[[441   1]
 [184   0]]",none,0.001,p_0.15,0.01,"['Open Price GR', 'Alpha GR', 'Beta GR']"
0.543624094894184,0.2955271565495208,0.2955271565495208,0.7044728434504792,0.7044728434504792,0.0,0.0,0.0,"[[441   1]
 [184   0]]",none,0.001,p_0.2,0.01,"['Open Price GR', 'Alpha GR', 'Beta GR']"
0.543624094894184,0.2955271565495208,0.2955271565495208,0.7044728434504792,0.7044728434504792,0.0,0.0,0.0,"[[441   1]
 [184   0]]",none,0.001,p_0.25,0.01,"['Open Price GR', 'High Price GR', 'Low Price GR', 'No. of Trades GR', 'Alpha GR', 'Beta GR']"
0.543624094894184,0.2955271565495208,0.2955271565495208,0.7044728434504792,0.7044728434504792,0.0,0.0,0.0,"[[441   1]
 [184   0]]",none,0.001,f_0.1,0.01,"['Open Price GR', 'High Price GR', 'Low Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR', 'EPS GR']"
0.5421528497205045,0.2939297124600639,0.2939297124600639,0.7060702875399361,0.7060702875399361,0.0,0.0,0.0,"[[442   0]
 [184   0]]",l2,1.0,f_0.5,0.01,"['Open Price GR', 'High Price GR', 'Low Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR', 'EPS GR']"
0.543624094894184,0.2955271565495208,0.2955271565495208,0.7044728434504792,0.7044728434504792,0.0,0.0,0.0,"[[441   1]
 [184   0]]",none,0.001,f_1,0.01,"['Open Price GR', 'High Price GR', 'Low Price GR', 'No. of Trades GR', 'Alpha GR', 'Beta GR', 'Expenditure GR', 'Net Profit GR', 'EPS GR']"
0.543624094894184,0.2955271565495208,0.2955271565495208,0.7044728434504792,0.7044728434504792,0.0,0.0,0.0,"[[441   1]
 [184   0]]",none,0.001,f_2,0.01,"['Open Price GR', 'Alpha GR', 'Beta GR']"
0.543624094894184,0.2955271565495208,0.2955271565495208,0.7044728434504792,0.7044728434504792,0.0,0.0,0.0,"[[441   1]
 [184   0]]",none,0.001,f_5,0.01,['Beta GR']
0.4056312872721451,0.1645367412140575,0.1645367412140575,0.8354632587859425,0.8354632587859425,0.0,0.0,0.0,"[[523   0]
 [103   0]]",none,0.001,p_0.01,0.02,"['Alpha GR', 'Beta GR']"
0.4056312872721451,0.1645367412140575,0.1645367412140575,0.8354632587859425,0.8354632587859425,0.0,0.0,0.0,"[[523   0]
 [103   0]]",none,0.001,p_0.05,0.02,"['Alpha GR', 'Beta GR', 'Income GR']"
0.4056312872721451,0.1645367412140575,0.1645367412140575,0.8354632587859425,0.8354632587859425,0.0,0.0,0.0,"[[523   0]
 [103   0]]",none,0.001,p_0.1,0.02,"['High Price GR', 'Alpha GR', 'Beta GR', 'Income GR']"
0.4056312872721451,0.1645367412140575,0.1645367412140575,0.8354632587859425,0.8354632587859425,0.0,0.0,0.0,"[[523   0]
 [103   0]]",none,0.001,p_0.15,0.02,"['High Price GR', 'Alpha GR', 'Beta GR', 'Income GR']"
0.4056312872721451,0.1645367412140575,0.1645367412140575,0.8354632587859425,0.8354632587859425,0.0,0.0,0.0,"[[523   0]
 [103   0]]",l2,100.0,p_0.2,0.02,"['High Price GR', 'No. of Trades GR', 'Alpha GR', 'Beta GR', 'Income GR']"
0.4056312872721451,0.1645367412140575,0.1645367412140575,0.8354632587859425,0.8354632587859425,0.0,0.0,0.0,"[[523   0]
 [103   0]]",l2,100.0,p_0.25,0.02,"['Open Price GR', 'High Price GR', 'No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Income GR']"
0.4056312872721451,0.1645367412140575,0.1645367412140575,0.8354632587859425,0.8354632587859425,0.0,0.0,0.0,"[[523   0]
 [103   0]]",l2,10.0,f_0.1,0.02,"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR', 'EPS GR']"
0.4056312872721451,0.1645367412140575,0.1645367412140575,0.8354632587859425,0.8354632587859425,0.0,0.0,0.0,"[[523   0]
 [103   0]]",none,0.001,f_0.5,0.02,"['Open Price GR', 'High Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Income GR']"
0.4056312872721451,0.1645367412140575,0.1645367412140575,0.8354632587859425,0.8354632587859425,0.0,0.0,0.0,"[[523   0]
 [103   0]]",l2,100.0,f_1,0.02,"['Open Price GR', 'High Price GR', 'No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Income GR']"
0.4056312872721451,0.1645367412140575,0.1645367412140575,0.8354632587859425,0.8354632587859425,0.0,0.0,0.0,"[[523   0]
 [103   0]]",none,0.001,f_2,0.02,"['High Price GR', 'Alpha GR', 'Beta GR', 'Income GR']"
0.4056312872721451,0.1645367412140575,0.1645367412140575,0.8354632587859425,0.8354632587859425,0.0,0.0,0.0,"[[523   0]
 [103   0]]",none,0.001,f_5,0.02,"['Alpha GR', 'Beta GR']"
0.4056312872721451,0.1645367412140575,0.1645367412140575,0.8354632587859425,0.8354632587859425,0.0,0.0,0.0,"[[523   0]
 [103   0]]",none,0.001,f_10,0.02,['Beta GR']
0.2937038999241769,0.08626198083067092,0.08626198083067092,0.9137380191693292,0.9137380191693292,0.0,0.0,0.0,"[[572   0]
 [ 54   0]]",l2,0.001,p_0.05,0.03,['Beta GR']
0.2937038999241769,0.08626198083067092,0.08626198083067092,0.9137380191693292,0.9137380191693292,0.0,0.0,0.0,"[[572   0]
 [ 54   0]]",l2,0.001,p_0.1,0.03,"['Open Price GR', 'High Price GR', 'Beta GR']"
0.2937038999241769,0.08626198083067092,0.08626198083067092,0.9137380191693292,0.9137380191693292,0.0,0.0,0.0,"[[572   0]
 [ 54   0]]",l2,0.001,p_0.15,0.03,"['Open Price GR', 'High Price GR', 'Beta GR']"
0.2937038999241769,0.08626198083067092,0.08626198083067092,0.9137380191693292,0.9137380191693292,0.0,0.0,0.0,"[[572   0]
 [ 54   0]]",l2,0.001,p_0.2,0.03,"['Open Price GR', 'High Price GR', 'Low Price GR', 'Beta GR']"
0.2937038999241769,0.08626198083067092,0.08626198083067092,0.9137380191693292,0.9137380191693292,0.0,0.0,0.0,"[[572   0]
 [ 54   0]]",l2,0.001,p_0.25,0.03,"['Open Price GR', 'High Price GR', 'Low Price GR', '% Deli. Qty to Traded Qty GR', 'Beta GR']"
