root_mean_squared_error,mean_absolute_error,mean_squared_error,confidence,accuracy,precision,recall,f1_score,confusion matrix,penalty,C,p_f_value,rate_of_growth,features
0.285117098,0.081291759,0.081291759,0.9187082409999999,0.9187082409999999,1.0,0.013513513999999999,0.026666667,"[[824   0]
 [ 73   1]]",none,0.001,p_0.01,0.03,"['Alpha GR', 'Beta GR']"
0.285117098,0.081291759,0.081291759,0.9187082409999999,0.9187082409999999,1.0,0.013513513999999999,0.026666667,"[[824   0]
 [ 73   1]]",none,0.001,p_0.05,0.03,"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Alpha GR', 'Beta GR']"
0.285117098,0.081291759,0.081291759,0.9187082409999999,0.9187082409999999,1.0,0.013513513999999999,0.026666667,"[[824   0]
 [ 73   1]]",none,0.001,p_0.1,0.03,"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', '% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR']"
0.285117098,0.081291759,0.081291759,0.9187082409999999,0.9187082409999999,1.0,0.013513513999999999,0.026666667,"[[824   0]
 [ 73   1]]",none,0.001,p_0.15,0.03,"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', '% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR']"
0.285117098,0.081291759,0.081291759,0.9187082409999999,0.9187082409999999,1.0,0.013513513999999999,0.026666667,"[[824   0]
 [ 73   1]]",none,0.001,p_0.2,0.03,"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', '% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR']"
0.285117098,0.081291759,0.081291759,0.9187082409999999,0.9187082409999999,1.0,0.013513513999999999,0.026666667,"[[824   0]
 [ 73   1]]",none,0.001,p_0.25,0.03,"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', '% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR', 'Dividend Value GR']"
0.285117098,0.081291759,0.081291759,0.9187082409999999,0.9187082409999999,1.0,0.013513513999999999,0.026666667,"[[824   0]
 [ 73   1]]",none,0.001,f_0.1,0.03,"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Expenditure GR', 'Net Profit GR', 'EPS GR']"
0.285117098,0.081291759,0.081291759,0.9187082409999999,0.9187082409999999,1.0,0.013513513999999999,0.026666667,"[[824   0]
 [ 73   1]]",none,0.001,f_0.5,0.03,"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', '% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR', 'Dividend Value GR', 'Net Profit GR', 'EPS GR']"
0.285117098,0.081291759,0.081291759,0.9187082409999999,0.9187082409999999,1.0,0.013513513999999999,0.026666667,"[[824   0]
 [ 73   1]]",none,0.001,f_1,0.03,"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', '% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR', 'Dividend Value GR', 'Net Profit GR', 'EPS GR']"
0.285117098,0.081291759,0.081291759,0.9187082409999999,0.9187082409999999,1.0,0.013513513999999999,0.026666667,"[[824   0]
 [ 73   1]]",none,0.001,f_2,0.03,"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', '% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR']"
