root_mean_squared_error,mean_absolute_error,mean_squared_error,accuracy,precision,recall,f1_score,confusion matrix,threshold,epochs,batch_size,rate_of_growth
0.7405316311773545,0.5483870967741935,0.5483870967741935,0.4516129032258064,0.2101313320825516,0.6086956521739131,0.3124128312412832,"[[294 421]
 [ 72 112]]",0.18999999999999967,50,100,0.01
0.9550521362050636,0.9121245828698554,0.9121245828698554,0.0878754171301446,0.0878754171301446,1.0,0.16155419222903886,"[[  0 820]
 [  0  79]]",-3.0878077872387166e-16,100,48,0.02
0.97749993243416,0.9555061179087876,0.9555061179087876,0.04449388209121246,0.04449388209121246,1.0,0.08519701810436635,"[[  0 859]
 [  0  40]]",-3.0878077872387166e-16,100,25,0.03
0.9899382571953436,0.9799777530589544,0.9799777530589544,0.02002224694104561,0.02002224694104561,1.0,0.03925845147219193,"[[  0 881]
 [  0  18]]",-3.0878077872387166e-16,100,25,0.04
0.9938632614323344,0.9877641824249166,0.9877641824249166,0.012235817575083428,0.012235817575083428,1.0,0.024175824175824177,"[[  0 888]
 [  0  11]]",-3.0878077872387166e-16,100,32,0.05
