accuracy,precision,recall,f1_score,confusion matrix,epochs,batch_size,optimizer,activation,dropout_rate,neurons,layers,rate_of_growth
0.4953051643192488,0.4835443037974684,0.4580335731414868,0.4704433497536946,"[[231 204]
 [226 191]]",50,50,adam,sigmoid,0.1,64,2,0.001
0.5223004694835681,0.4548022598870056,0.42933333333333334,0.44170096021947874,"[[284 193]
 [214 161]]",25,25,adam,sigmoid,0.2,64,2,0.002
0.5974178403755869,0.5714285714285714,0.04610951008645533,0.08533333333333332,"[[493  12]
 [331  16]]",50,25,sgd,sigmoid,0.0,64,2,0.003
0.5528169014084507,0.35944700460829493,0.24375,0.29050279329608936,"[[393 139]
 [242  78]]",25,25,adam,sigmoid,0.2,32,2,0.004
0.573943661971831,0.34710743801652894,0.2906574394463668,0.3163841807909605,"[[405 158]
 [205  84]]",25,25,adam,sigmoid,0.2,32,2,0.005
