security code,security name,revenue,income,expenditure,profit,eps,year,quartile
500170,GTNINDS,717.7,718.0,-687.8,-3.3,-0.28,2007,3
500170,GTNINDS,692.5,693.1,-679.8,-13.8,-1.2,2007,4
500170,GTNINDS,795.5,796.4,-767.2,-5.9,-0.51,2008,1
500170,GTNINDS,509.0,509.6,-494.8,-19.3,-1.67,2008,2
500170,GTNINDS,639.1,639.7,-673.2,-71.6,-6.2,2008,3
500170,GTNINDS,463.9,-73.4,-537.3,-35.4,-3.06,2008,4
500170,GTNINDS,452.3,-60.1,-512.4,-61.8,-5.35,2009,1
500170,GTNINDS,537.0,-12.2,-549.2,-51.3,-4.45,2009,2
500170,GTNINDS,610.8,-5.9,-616.7,-51.7,-4.47,2009,3
500170,GTNINDS,748.6,31.2,-717.4,-20.2,-1.74,2009,4
500170,GTNINDS,830.4,61.5,-768.9,3.1,0.21,2010,2
500170,GTNINDS,1012.4,77.3,-935.1,38.0,2.16,2010,3
500170,GTNINDS,1198.5,92.6,-1105.9,28.0,1.59,2010,4
500170,GTNINDS,932.3,64.7,-867.6,14.8,0.84,2011,2
500170,GTNINDS,914.9,-5.3,-920.2,-24.3,-3.02,2011,3
500170,GTNINDS,1037.7,-32.0,-1069.7,-72.5,-4.13,2011,4
500170,GTNINDS,888.3,824.5,-191.1,-9.8,-0.56,2012,1
500170,GTNINDS,891.1,838.3,-211.7,-38.9,-2.67,2012,2
500170,GTNINDS,880.9,825.2,-71.6,-56.2,-3.2,2012,3
500170,GTNINDS,1048.5,990.0,-240.2,-56.5,-3.22,2012,4
500170,GTNINDS,1402.1,1325.6,-119.3,-3.7,-0.21,2013,1
500170,GTNINDS,1103.8,1043.0,-126.8,-53.6,-3.06,2013,2
500170,GTNINDS,1524.7,1435.5,-146.4,4.7,0.23,2013,3
500170,GTNINDS,1582.9,1499.9,-139.6,2.5,0.09,2013,4
500170,GTNINDS,1406.4,1315.1,-117.9,38.1,2.12,2014,1
500170,GTNINDS,1185.7,1113.8,-119.4,-20.8,-1.32,2014,2
500170,GTNINDS,1162.2,1092.7,-117.2,-48.7,-2.91,2014,3
500170,GTNINDS,886.2,828.0,-83.4,-41.0,-2.53,2014,4
500170,GTNINDS,851.6,53.9,-75.5,-14.9,-0.97,2015,1
500170,GTNINDS,727.7,676.5,-81.8,-8.4,-0.53,2015,2
500170,GTNINDS,687.7,45.7,-67.0,-107.1,-6.16,2015,3
500170,GTNINDS,722.6,46.7,-78.2,-0.3,-0.08,2015,4
500170,GTNINDS,662.6,39.8,-80.1,71.6,4.06,2016,1
500170,GTNINDS,703.8,654.9,-79.2,-28.9,,2016,2
500170,GTNINDS,765.8,44.6,-81.5,2.9,,2016,3
500170,GTNINDS,699.5,22.0,-77.5,-20.1,,2016,4
500170,GTNINDS,669.3,677.1,-137.7,-18.8,-1.07,2017,1
500170,GTNINDS,488.8,493.1,-132.7,-29.2,-1.67,2017,2
500170,GTNINDS,763.2,767.2,-148.9,-22.8,-1.31,2017,3
500170,GTNINDS,831.4,844.5,-164.5,-14.5,-0.86,2017,4
500170,GTNINDS,871.8,872.5,-162.2,4.1,0.23,2018,1
500170,GTNINDS,812.8,817.0,-171.9,-10.9,-0.62,2018,2
500170,GTNINDS,883.5,887.1,-169.0,-50.6,-0.29,2018,3
500170,GTNINDS,953.2,957.8,-175.4,-27.3,-1.56,2018,4
500170,GTNINDS,917.5,921.8,-157.3,5.3,0.3,2019,1
500170,GTNINDS,860.0,864.3,-153.8,-35.8,-2.04,2019,2
500170,GTNINDS,904.5,907.2,-167.3,17.8,1.02,2019,3
500170,GTNINDS,913.5,915.6,-166.5,-1.9,-0.11,2019,4
500170,GTNINDS,763.8,766.8,-158.0,-34.5,-1.96,2020,1
500170,GTNINDS,421.0,423.5,-98.8,-60.1,-3.43,2020,2
500170,GTNINDS,788.2,795.9,-157.6,-27.6,-1.57,2020,3
500170,GTNINDS,881.1,883.1,-155.1,2.9,0.16,2020,4
