Security Code,Security Name
500312,Oil and Natural Gas Corporation Ltd
500313,OIL COUNTRY TUBULAR LTD.
500314,ORIENTAL HOTELS LTD.
500317,OSWAL AGRO MILLS LTD.
500319,INDIAN SUCROSE LTD.
500325,RELIANCE INDUSTRIES LTD.
500327,Pil Italica Lifestyle Ltd
500330,RAYMOND LTD.
500331,PIDILITE INDUSTRIES LTD.
500333,PIX TRANSMISSIONS LTD.
500335,BIRLA CORPORATION LTD.
500336,SURYA ROSHNI LTD.
500337,PRIME SECURITIES LTD.
500338,Prism Johnson Ltd
500339,Rain Industries Ltd
500343,AMJ Land Holdings Ltd
500346,PUNJAB COMMUNICATIONS LTD.-$
500350,RSWM LTD.
500354,RAJSHREE SUGARS & CHEMICALS LTD.
500355,RALLIS INDIA LTD.
500356,SHREE RAMA NEWSPRINT LTD.
500357,RAMA PAPER MILLS LTD.
500358,RAMA PETROCHEMICALS LTD.
500360,RAPICUT CARBIDES LTD.
500365,Welspun Specialty Solutions Ltd
500366,ROLTA INDIA LTD.
500367,RUBFILA INTERNATIONAL LTD.
500368,RUCHI SOYA INDUSTRIES LTD.
500370,SALORA INTERNATIONAL LTD.
500378,JINDAL SAW LTD.
500380,JK LAKSHMI CEMENT LTD.
500387,SHREE CEMENT LTD.
500388,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.
500390,RELIANCE INFRASTRUCTURE LTD.
500400,TATA POWER CO.LTD.
500402,SPML Infra Limited
500403,SUNDRAM FASTENERS LTD.
500404,SUNFLAG IRON & STEEL CO.LTD.
500405,SUPREME PETROCHEM LTD.
500407,SWARAJ ENGINES LTD.
500408,TATA ELXSI LTD.
500410,ACC LTD.
500411,THERMAX LTD.
500412,THIRUMALAI CHEMICALS LTD.
500413,THOMAS COOK (INDIA) LTD.
500414,TIMEX GROUP INDIA LTD.-$
500418,TOKYO PLAST INTERNATIONAL LTD.
500420,TORRENT PHARMACEUTICALS LTD.
500422,TRANSCHEM LTD.-$
500425,AMBUJA CEMENTS LTD.
500426,UTL Industries Limited
500429,UNIPHOS ENTERPRISES LTD.
500439,VARDHMAN HOLDINGS LTD.
500440,HINDALCO INDUSTRIES LTD.
500444,WEST COAST PAPER MILLS LTD.
500449,HINDUSTAN ORGANIC CHEMICALS LTD.
500450,MPIL CORPORATION LTD.
500456,PASUPATI ACRYLON LTD.
500458,Kore Foods Ltd
500459,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.
500460,MUKAND LTD.
500463,AGC Networks Limited
500464,UCAL FUEL SYSTEMS LTD.
500467,HARRISONS MALAYALAM LTD.
500469,FEDERAL BANK LTD.
500470,TATA STEEL LTD.
500472,SKF India Ltd
500477,ASHOK LEYLAND LTD.
500480,CUMMINS INDIA LTD.
500483,TATA COMMUNICATIONS LTD.
500488,ABBOTT INDIA LTD.
500490,BAJAJ HOLDINGS & INVESTMENT LTD.
500493,BHARAT FORGE LTD.
500495,ESCORTS LTD.
500500,HINDUSTAN MOTORS LTD.
500510,LARSEN & TOUBRO LTD.
500520,MAHINDRA & MAHINDRA LTD.
500530,BOSCH LTD.
500540,PREMIER LTD.
500547,BHARAT PETROLEUM CORPORATION LTD.
500550,SIEMENS LTD.
500570,TATA MOTORS LTD.
500575,VOLTAS LTD.
500620,GREAT EASTERN SHIPPING CO.LTD.
500645,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.
500650,EXCEL INDUSTRIES LTD.
500655,GARWARE POLYESTER LTD.
500660,GLAXOSMITHKLINE PHARMACEUTICALS LTD.
500670,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.
500672,NOVARTIS INDIA LTD.
500674,Sanofi India Ltd
500680,PFIZER LTD.
500690,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.
500696,HINDUSTAN UNILEVER LTD.
500710,Akzo Nobel India Limited
500730,NOCIL LTD.
500770,TATA CHEMICALS LTD.
500777,TAMILNADU PETROPRODUCTS LTD.
500780,ZUARI GLOBAL LTD.
500790,NESTLE INDIA LTD.
500800,Tata Consumer Products Ltd
500820,ASIAN PAINTS LTD.
500825,BRITANNIA INDUSTRIES LTD.
500830,COLGATE-PALMOLIVE (INDIA) LTD.
500840,EIH LTD.
500850,INDIAN HOTELS CO.LTD.
500870,CASTROL INDIA LTD.
500875,ITC LTD.
500877,APOLLO TYRES LTD.
500878,CEAT LTD.
500890,MODI RUBBER LTD.
500940,FINOLEX INDUSTRIES LTD.
501110,SUNRISE INDUSTRIAL TRADERS LTD.
501111,GOLD ROCK INVESTMENTS LTD.
501144,PEOPLES INVESTMENTS LTD.
501148,DALAL STREET INVESTMENTS LTD.
501150,CENTRUM CAPITAL LTD.
501242,TCI FINANCE LTD.
501261,KRATOS ENERGY & INFRASTRUCTURE LTD.
