root_mean_squared_error,mean_absolute_error,mean_squared_error,accuracy,precision,recall,f1_score,confusion matrix,C,gamma,kernel,threshold
0.4399413450640599,0.1935483870967742,0.1935483870967742,0.8064516129032258,0.21428571428571427,0.018072289156626502,0.03333333333333333,"[[722  11]
 [163   3]]",10.0,1e-05,sigmoid,0.01
0.2829999783819469,0.08008898776418243,0.08008898776418243,0.9199110122358176,0.0,0.0,0.0,"[[827   7]
 [ 65   0]]",1.0,0.0001,sigmoid,0.02
0.20287148871729493,0.041156840934371525,0.041156840934371525,0.9588431590656284,0.0,0.0,0.0,"[[862   6]
 [ 31   0]]",100.0,1e-05,sigmoid,0.03
0.1564341239952679,0.024471635150166853,0.024471635150166853,0.9755283648498332,0.0,0.0,0.0,"[[877  10]
 [ 12   0]]",1.0,0.01,sigmoid,0.04
0.11061562988603114,0.012235817575083428,0.012235817575083428,0.9877641824249166,0.0,0.0,0.0,"[[888   6]
 [  5   0]]",1000.0,0.1,rbf,0.05
